ID	Gene Name	Species	GOTERM_BP_DIRECT
GB45935	long-chain fatty acid transport protein 4-like(LOC408564)	Apis mellifera	GO:0008152~metabolic process,
GB45303	methylglutaconyl-CoA hydratase, mitochondrial(LOC409494)	Apis mellifera	GO:0008152~metabolic process,
GB48029	mitochondrial basic amino acids transporter-like(LOC725922)	Apis mellifera	GO:0055085~transmembrane transport,
GB53440	mitochondrial enolase superfamily member 1-like(LOC411307)	Apis mellifera	GO:0009063~cellular amino acid catabolic process,
GB46429	mycosubtilin synthase subunit C(LOC409109)	Apis mellifera	GO:0008152~metabolic process,
GB52275	pancreatic lipase-related protein 2-like(LOC726880)	Apis mellifera	GO:0006629~lipid metabolic process,
GB54661	phosphoglucomutase(LOC411897)	Apis mellifera	GO:0005975~carbohydrate metabolic process,
GB42468	phospholipase B1, membrane-associated-like(LOC411706)	Apis mellifera	GO:0006629~lipid metabolic process,
GB48435	phosphotriesterase-related protein(LOC411691)	Apis mellifera	GO:0009056~catabolic process,
GB54260	probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial(LOC412569)	Apis mellifera	GO:0006099~tricarboxylic acid cycle,
GB48474	probable chitinase 3(LOC413481)	Apis mellifera	GO:0005975~carbohydrate metabolic process,GO:0006032~chitin catabolic process,
GB54854	proteasome maturation protein(LOC551411)	Apis mellifera	GO:0043248~proteasome assembly,
GB53799	proteasome subunit alpha type-2(LOC409802)	Apis mellifera	GO:0006511~ubiquitin-dependent protein catabolic process,
GB44398	proteasome subunit alpha type-5(LOC551956)	Apis mellifera	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,
GB43147	proteasome subunit beta type-2-like(LOC409978)	Apis mellifera	GO:0051603~proteolysis involved in cellular protein catabolic process,
GB42887	protein NPC2 homolog(LOC551922)	Apis mellifera	GO:0032367~intracellular cholesterol transport,
GB54601	protein disulfide-isomerase A6(LOC412526)	Apis mellifera	GO:0045454~cell redox homeostasis,
GB47849	pyrroline-5-carboxylate reductase 2(LOC408859)	Apis mellifera	GO:0055129~L-proline biosynthetic process,
GB51797	ras-related protein Rab-32(LOC726887)	Apis mellifera	GO:0007264~small GTPase mediated signal transduction,
GB49370	sepiapterin reductase(LOC551857)	Apis mellifera	GO:0006729~tetrahydrobiopterin biosynthetic process,
GB41235	succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like(LOC551917)	Apis mellifera	GO:0006099~tricarboxylic acid cycle,
GB52745	thioredoxin domain-containing protein 15(LOC726649)	Apis mellifera	GO:0045454~cell redox homeostasis,
GB43843	thioredoxin-related transmembrane protein 2 homolog(LOC411391)	Apis mellifera	GO:0045454~cell redox homeostasis,
GB52796	translin(LOC413794)	Apis mellifera	GO:0016070~RNA metabolic process,
GB41233	trifunctional purine biosynthetic protein adenosine-3(LOC100577675)	Apis mellifera	GO:0006189~'de novo' IMP biosynthetic process,GO:0009113~purine nucleobase biosynthetic process,
GB53791	uncharacterized family 31 glucosidase KIAA1161(LOC726210)	Apis mellifera	GO:0005975~carbohydrate metabolic process,
GB52786	vesicle-associated membrane protein 2(LOC408465)	Apis mellifera	GO:0016192~vesicle-mediated transport,
GB48794	yellow-y(Y-y)	Apis mellifera	GO:0042438~melanin biosynthetic process,GO:0060179~male mating behavior,
