ID	Gene Name	Species	GOTERM_BP_DIRECT\
GB44972	catenin delta-2(LOC408311)	Apis mellifera	"GO:0010172~embryonic body morphogenesis,GO:0016337~single organismal cell-cell adhesion,GO:0032956~regulation of actin cytoskeleton organization,\"
GB44291	cold shock domain-containing protein E1(LOC414014)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB41227	cuticular protein analogous to peritrophins 3-B(Cpap3-b)	Apis mellifera	"GO:0006030~chitin metabolic process,\"
GB41203	cuticular protein analogous to peritrophins 3-C(Cpap3-c)	Apis mellifera	"GO:0006030~chitin metabolic process,\"
GB40109	diacylglycerol O-acyltransferase 1(LOC552377)	Apis mellifera	"GO:0019432~triglyceride biosynthetic process,\"
GB50415	diacylglycerol kinase theta(LOC408809)	Apis mellifera	"GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway,GO:0035556~intracellular signal transduction,\"
GB44430	"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial-like(LOC409155)"	Apis mellifera	"GO:0006099~tricarboxylic acid cycle,\"
GB40095	distal-less(Dll)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB48059	ecdysone receptor(Ecr)	Apis mellifera	"GO:0006351~transcription, DNA-templated,\"
GB53873	elongation of very long chain fatty acids protein 6(LOC726467)	Apis mellifera	"GO:0006633~fatty acid biosynthetic process,\"
GB51247	elongation of very long chain fatty acids protein AAEL008004-like(LOC413789)	Apis mellifera	"GO:0006633~fatty acid biosynthetic process,\"
GB54396	elongation of very long chain fatty acids protein AAEL008004-like(LOC724552)	Apis mellifera	"GO:0006633~fatty acid biosynthetic process,\"
GB54477	epidermal growth factor receptor-like(LOC100577393)	Apis mellifera	"GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007275~multicellular organism development,\"
GB44544	estrogen-related receptor(Err)	Apis mellifera	"GO:0006351~transcription, DNA-templated,\"
GB46431	eukaryotic translation initiation factor 3 subunit A(LOC414004)	Apis mellifera	"GO:0001731~formation of translation preinitiation complex,GO:0006446~regulation of translational initiation,\"
GB48385	extracellular sulfatase SULF-1 homolog(LOC410233)	Apis mellifera	"GO:0008152~metabolic process,\"
GB55405	eyegone(Eyg)	Apis mellifera	"GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007275~multicellular organism development,\"
GB43876	fork head domain transcription factor slp1-like(LOC726165)	Apis mellifera	"GO:0006351~transcription, DNA-templated,\"
GB40735	fructose-bisphosphate aldolase(LOC550785)	Apis mellifera	"GO:0006096~glycolytic process,\"
GB54693	fumarylacetoacetate hydrolase domain-containing protein 2A(LOC410635)	Apis mellifera	"GO:0008152~metabolic process,\"
GB53578	glucosylceramidase-like(LOC409708)	Apis mellifera	"GO:0005975~carbohydrate metabolic process,GO:0006665~sphingolipid metabolic process,\"
GB50011	glutamate decarboxylase 1(LOC408509)	Apis mellifera	"GO:0019752~carboxylic acid metabolic process,\"
GB41782	"glycine dehydrogenase (decarboxylating), mitochondrial(LOC100577053)"	Apis mellifera	"GO:0006546~glycine catabolic process,\"
GB54181	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1(LOC410497)	Apis mellifera	"GO:0007165~signal transduction,\"
GB46691	"histone-lysine N-methyltransferase, H3 lysine-79 specific(LOC411070)"	Apis mellifera	"GO:0051726~regulation of cell cycle,\"
GB46956	homeobox protein B-H2-like(LOC725590)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB47493	homeobox protein Msx(Msx)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,GO:0007275~multicellular organism development,\"
GB55198	homeobox protein caupolican(LOC412839)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB55196	homeobox protein caupolican-like(LOC412840)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB40074	hormone receptor-like in 38(LOC551592)	Apis mellifera	"GO:0006351~transcription, DNA-templated,\"
GB45503	inactive tyrosine-protein kinase 7-like(LOC410685)	Apis mellifera	"GO:0001736~establishment of planar polarity,GO:0060026~convergent extension,\"
GB55515	inositol oxygenase(LOC408650)	Apis mellifera	"GO:0019310~inositol catabolic process,\"
GB55425	insulin-like receptor-like(InR-2)	Apis mellifera	"GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,\"
GB42215	integrin beta-PS-like(LOC724950)	Apis mellifera	"GO:0007155~cell adhesion,GO:0007229~integrin-mediated signaling pathway,\"
GB45009	katanin p80 WD40 repeat-containing subunit B1(LOC410348)	Apis mellifera	"GO:0007067~mitotic nuclear division,GO:0051013~microtubule severing,GO:0051301~cell division,\"
GB44709	kinesin 3E(LOC552512)	Apis mellifera	"GO:0007018~microtubule-based movement,\"
GB51611	latrophilin Cirl-like(LOC552142)	Apis mellifera	"GO:0007166~cell surface receptor signaling pathway,\"
GB44020	long-chain fatty acid transport protein 1(LOC408920)	Apis mellifera	"GO:0008152~metabolic process,\"
GB49870	long-chain-fatty-acid--CoA ligase 6(LOC412541)	Apis mellifera	"GO:0008152~metabolic process,\"
GB48386	lysine-specific histone demethylase 1A(LOC726469)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,GO:0034720~histone H3-K4 demethylation,\"
GB48029	mitochondrial basic amino acids transporter-like(LOC725922)	Apis mellifera	"GO:0055085~transmembrane transport,\"
GB46705	muscle M-line assembly protein unc-89(LOC408830)	Apis mellifera	"GO:0035023~regulation of Rho protein signal transduction,\"
GB43238	nuclear pore complex protein Nup98-Nup96(LOC408335)	Apis mellifera	"GO:0006810~transport,\"
GB45967	nuclear receptor coactivator 3-like(LOC410637)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB52331	nuclear receptor subfamily 1 group D member 2(LOC724640)	Apis mellifera	"GO:0006351~transcription, DNA-templated,GO:0043401~steroid hormone mediated signaling pathway,\"
GB54355	nuclease-sensitive element-binding protein 1(LOC409854)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB46066	nucleosome assembly protein 1-like 1(LOC550824)	Apis mellifera	"GO:0006334~nucleosome assembly,\"
GB53852	paired amphipathic helix protein Sin3a(LOC409049)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB56017	paired mesoderm homeobox protein 2-like(LOC724301)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB54796	paired mesoderm homeobox protein 2A(LOC724934)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB46795	papilin(LOC413021)	Apis mellifera	"GO:0006030~chitin metabolic process,\"
GB43074	"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform(LOC551500)"	Apis mellifera	"GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,\"
GB43660	potassium voltage-gated channel protein Shaker(LOC408343)	Apis mellifera	"GO:0051260~protein homooligomerization,\"
GB42249	potassium voltage-gated channel protein Shal(LOC408576)	Apis mellifera	"GO:0051260~protein homooligomerization,\"
GB45823	pre-mRNA-processing-splicing factor 8(LOC551620)	Apis mellifera	"GO:0000398~mRNA splicing, via spliceosome,\"
GB43618	"probable aconitate hydratase, mitochondrial(LOC408446)"	Apis mellifera	"GO:0006099~tricarboxylic acid cycle,\"
GB53323	probable beta-hexosaminidase fdl(LOC411490)	Apis mellifera	"GO:0005975~carbohydrate metabolic process,\"
GB48474	probable chitinase 3(LOC413481)	Apis mellifera	"GO:0005975~carbohydrate metabolic process,GO:0006032~chitin catabolic process,\"
GB51264	probable glutamine-dependent NAD(+) synthetase(LOC409487)	Apis mellifera	"GO:0009435~NAD biosynthetic process,\"
GB46156	probable serine/threonine-protein kinase DDB_G0282963(LOC100577795)	Apis mellifera	"GO:0030154~cell differentiation,\"
GB46736	probable ubiquitin carboxyl-terminal hydrolase FAF-X(LOC411981)	Apis mellifera	"GO:0006511~ubiquitin-dependent protein catabolic process,GO:0016579~protein deubiquitination,\"
GB51994	proteasome subunit beta type-6(LOC409831)	Apis mellifera	"GO:0051603~proteolysis involved in cellular protein catabolic process,\"
GB45062	protein apterous(LOC409095)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB41521	protein groucho-1(LOC408890)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB41520	protein groucho-1-like(LOC411175)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB40519	protein hairy-like(LOC725331)	Apis mellifera	"GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,\"
GB48639	protein jagged-1(LOC411086)	Apis mellifera	"GO:0007219~Notch signaling pathway,GO:0007275~multicellular organism development,GO:0030154~cell differentiation,GO:0042127~regulation of cell proliferation,\"
GB43222	protein kinase C(Pkc)	Apis mellifera	"GO:0035556~intracellular signal transduction,\"
GB44935	protein pellino(LOC409070)	Apis mellifera	"GO:0008063~Toll signaling pathway,\"
GB47508	protein quiver(LOC100577019)	Apis mellifera	"GO:0030431~sleep,GO:0032222~regulation of synaptic transmission, cholinergic,GO:0045187~regulation of circadian sleep/wake cycle, sleep,GO:0048511~rhythmic process,GO:1903818~positive regulation of voltage-gated potassium channel activity,\"
GB44532	protein similar-like(LOC408852)	Apis mellifera	"GO:0006351~transcription, DNA-templated,\"
GB52114	protein trachealess(LOC408389)	Apis mellifera	"GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,\"
GB52557	protein transport protein Sec24C(LOC409439)	Apis mellifera	"GO:0006886~intracellular protein transport,GO:0006888~ER to Golgi vesicle-mediated transport,\"
GB52036	protein vestigial(LOC726247)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB51276	protocadherin-like wing polarity protein stan(LOC551848)	Apis mellifera	"GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007166~cell surface receptor signaling pathway,\"
GB40280	"pyruvate carboxylase, mitochondrial(LOC412876)"	Apis mellifera	"GO:0006090~pyruvate metabolic process,GO:0006094~gluconeogenesis,\"
GB50397	rap guanine nucleotide exchange factor 2-like(LOC408810)	Apis mellifera	"GO:0007264~small GTPase mediated signal transduction,\"
GB44237	ras-like protein 3(LOC413246)	Apis mellifera	"GO:0007264~small GTPase mediated signal transduction,\"
GB44890	regulator of nonsense transcripts 1(LOC409839)	Apis mellifera	"GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,\"
GB55791	rho GTPase-activating protein 20-like(LOC410044)	Apis mellifera	"GO:0007165~signal transduction,GO:0035023~regulation of Rho protein signal transduction,\"
GB49732	rho guanine nucleotide exchange factor 17(LOC413562)	Apis mellifera	"GO:0035023~regulation of Rho protein signal transduction,\"
GB42039	ribosomal RNA processing protein 36 homolog(LOC724432)	Apis mellifera	"GO:0000469~cleavage involved in rRNA processing,\"
GB41634	serine/threonine-protein kinase SMG1(LOC727185)	Apis mellifera	"GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,\"
GB53062	serine/threonine-protein kinase minibrain(LOC409111)	Apis mellifera	"GO:0046777~protein autophosphorylation,\"
GB42564	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform-like(LOC408949)	Apis mellifera	"GO:0007165~signal transduction,\"
GB49567	sestrin homolog(LOC411048)	Apis mellifera	"GO:1901031~regulation of response to reactive oxygen species,\"
GB50289	signal recognition particle 54 kDa protein(LOC552114)	Apis mellifera	"GO:0006614~SRP-dependent cotranslational protein targeting to membrane,\"
GB44127	signal-induced proliferation-associated 1-like protein 2(LOC408780)	Apis mellifera	"GO:0051056~regulation of small GTPase mediated signal transduction,\"
GB48665	sodium/calcium exchanger 3(LOC409818)	Apis mellifera	"GO:0007154~cell communication,\"
GB42865	solute carrier organic anion transporter family member 3A1(LOC100577409)	Apis mellifera	"GO:0006811~ion transport,\"
GB47584	sorbin and SH3 domain-containing protein 1(LOC409655)	Apis mellifera	"GO:0007015~actin filament organization,GO:0007155~cell adhesion,GO:0016477~cell migration,\"
GB53341	sortilin-related receptor(LOC408987)	Apis mellifera	"GO:0006810~transport,\"
GB53790	sorting nexin-27(LOC408945)	Apis mellifera	"GO:0007165~signal transduction,\"
GB53727	"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like(LOC551169)"	Apis mellifera	"GO:0006099~tricarboxylic acid cycle,\"
GB53139	testican-1(LOC409774)	Apis mellifera	"GO:0007165~signal transduction,\"
GB45905	thyroid receptor-interacting protein 11(LOC411348)	Apis mellifera	"GO:0000042~protein targeting to Golgi,\"
GB50686	transcription factor Sox-2(LOC408411)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB50048	transcription factor mblk-1-like(Mblk-1)	Apis mellifera	"GO:0006351~transcription, DNA-templated,GO:0007613~memory,GO:0045893~positive regulation of transcription, DNA-templated,\"
GB54130	transformation/transcription domain-associated protein(LOC410502)	Apis mellifera	"GO:0016573~histone acetylation,\"
GB44643	transportin-1(LOC408842)	Apis mellifera	"GO:0006886~intracellular protein transport,\"
GB55489	trehalase(LOC410795)	Apis mellifera	"GO:0005991~trehalose metabolic process,\"
GB43575	trehalase-like(LOC410484)	Apis mellifera	"GO:0005991~trehalose metabolic process,\"
GB44899	trithorax group protein osa(LOC412046)	Apis mellifera	"GO:0006338~chromatin remodeling,\"
GB44842	tropomodulin(LOC409024)	Apis mellifera	"GO:0051694~pointed-end actin filament capping,\"
GB51214	"troponin T, skeletal muscle(TpnT)"	Apis mellifera	"GO:0006937~regulation of muscle contraction,\"
GB50238	tubulin alpha-1 chain-like(LOC412886)	Apis mellifera	"GO:0007017~microtubule-based process,\"
GB43789	tubulin polyglutamylase TTLL4-like(LOC413213)	Apis mellifera	"GO:0018095~protein polyglutamylation,\"
GB53220	ubiquitin carboxyl-terminal hydrolase 3-like(LOC408619)	Apis mellifera	"GO:0006511~ubiquitin-dependent protein catabolic process,GO:0016578~histone deubiquitination,\"
GB43305	ubiquitin specific protease-like(LOC409389)	Apis mellifera	"GO:0006511~ubiquitin-dependent protein catabolic process,GO:0016579~protein deubiquitination,\"
GB51290	ultrabithorax(Ubx)	Apis mellifera	"GO:0007275~multicellular organism development,\"
GB42764	uncharacterized LOC100576640(LOC100576640)	Apis mellifera	"GO:0006281~DNA repair,\"
GB44536	uncharacterized LOC100576683(LOC100576683)	Apis mellifera	"GO:0035556~intracellular signal transduction,\"
GB48836	uncharacterized LOC100577578(LOC100577578)	Apis mellifera	"GO:0006457~protein folding,\"
GB45151	uncharacterized LOC408365(LOC408365)	Apis mellifera	"GO:0005975~carbohydrate metabolic process,GO:0006030~chitin metabolic process,\"
GB42200	uncharacterized LOC408577(LOC408577)	Apis mellifera	"GO:0035556~intracellular signal transduction,\"
GB55527	uncharacterized LOC408649(LOC408649)	Apis mellifera	"GO:0006281~DNA repair,\"
GB43138	uncharacterized LOC409904(LOC409904)	Apis mellifera	"GO:0070830~bicellular tight junction assembly,GO:0090162~establishment of epithelial cell polarity,\"
GB54136	uncharacterized LOC410506(LOC410506)	Apis mellifera	"GO:0030036~actin cytoskeleton organization,\"
GB54143	uncharacterized LOC410514(LOC410514)	Apis mellifera	"GO:0007165~signal transduction,\"
GB54144	uncharacterized LOC410515(LOC410515)	Apis mellifera	"GO:0006979~response to oxidative stress,\"
GB53970	uncharacterized LOC412354(LOC412354)	Apis mellifera	"GO:0035023~regulation of Rho protein signal transduction,\"
GB45152	uncharacterized LOC551323(LOC551323)	Apis mellifera	"GO:0005975~carbohydrate metabolic process,GO:0006030~chitin metabolic process,\"
GB47628	uncharacterized LOC725662(LOC725662)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB41704	uncharacterized LOC727232(LOC727232)	Apis mellifera	"GO:0035556~intracellular signal transduction,\"
GB53791	uncharacterized family 31 glucosidase KIAA1161(LOC726210)	Apis mellifera	"GO:0005975~carbohydrate metabolic process,\"
GB44146	uncharacterized peptidase C1-like protein F26E4.3(LOC409789)	Apis mellifera	"GO:0006955~immune response,\"
GB55059	voltage-dependent T-type calcium channel subunit alpha-1G(LOC551883)	Apis mellifera	"GO:0070509~calcium ion import,\"
GB41625	zinc finger CCCH domain-containing protein 13-like(LOC552724)	Apis mellifera	"GO:0006030~chitin metabolic process,\"
GB54030	zinc finger homeobox protein 4(LOC410304)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
}			
