ID	Gene Name	Species	GOTERM_BP_DIRECT
GB44237	ras-like protein 3(LOC413246)	Apis mellifera	GO:0007264~small GTPase mediated signal transduction,
GB55791	rho GTPase-activating protein 20-like(LOC410044)	Apis mellifera	GO:0007165~signal transduction,GO:0035023~regulation of Rho protein signal transduction,
GB41634	serine/threonine-protein kinase SMG1(LOC727185)	Apis mellifera	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,
GB53036	serine/threonine-protein kinase Warts(LOC411678)	Apis mellifera	GO:0007067~mitotic nuclear division,GO:0035329~hippo signaling,
GB53062	serine/threonine-protein kinase minibrain(LOC409111)	Apis mellifera	GO:0046777~protein autophosphorylation,
GB42564	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform-like(LOC408949)	Apis mellifera	GO:0007165~signal transduction,
GB44127	signal-induced proliferation-associated 1-like protein 2(LOC408780)	Apis mellifera	GO:0051056~regulation of small GTPase mediated signal transduction,
GB42865	solute carrier organic anion transporter family member 3A1(LOC100577409)	Apis mellifera	GO:0006811~ion transport,
GB50997	structural maintenance of chromosomes protein 3(LOC410217)	Apis mellifera	GO:0006281~DNA repair,GO:0007064~mitotic sister chromatid cohesion,
GB43089	syntaxin 1A(Syx1A)	Apis mellifera	GO:0006886~intracellular protein transport,GO:0016192~vesicle-mediated transport,GO:0017157~regulation of exocytosis,GO:0061025~membrane fusion,
GB45905	thyroid receptor-interacting protein 11(LOC411348)	Apis mellifera	GO:0000042~protein targeting to Golgi,
GB42706	transcription factor E2F2(LOC412770)	Apis mellifera	GO:0006351~transcription, DNA-templated,
GB50686	transcription factor Sox-2(LOC408411)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB50048	transcription factor mblk-1-like(Mblk-1)	Apis mellifera	GO:0006351~transcription, DNA-templated,GO:0007613~memory,GO:0045893~positive regulation of transcription, DNA-templated,
GB55489	trehalase(LOC410795)	Apis mellifera	GO:0005991~trehalose metabolic process,
GB44899	trithorax group protein osa(LOC412046)	Apis mellifera	GO:0006338~chromatin remodeling,
GB44842	tropomodulin(LOC409024)	Apis mellifera	GO:0051694~pointed-end actin filament capping,
GB53220	ubiquitin carboxyl-terminal hydrolase 3-like(LOC408619)	Apis mellifera	GO:0006511~ubiquitin-dependent protein catabolic process,GO:0016578~histone deubiquitination,
GB51290	ultrabithorax(Ubx)	Apis mellifera	GO:0007275~multicellular organism development,
GB50229	uncharacterized LOC100576432(LOC100576432)	Apis mellifera	GO:0007155~cell adhesion,GO:0007349~cellularization,
GB44536	uncharacterized LOC100576683(LOC100576683)	Apis mellifera	GO:0035556~intracellular signal transduction,
GB43591	uncharacterized LOC408443(LOC408443)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB42200	uncharacterized LOC408577(LOC408577)	Apis mellifera	GO:0035556~intracellular signal transduction,
GB54136	uncharacterized LOC410506(LOC410506)	Apis mellifera	GO:0030036~actin cytoskeleton organization,
GB54143	uncharacterized LOC410514(LOC410514)	Apis mellifera	GO:0007165~signal transduction,
GB47628	uncharacterized LOC725662(LOC725662)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB41704	uncharacterized LOC727232(LOC727232)	Apis mellifera	GO:0035556~intracellular signal transduction,
GB55059	voltage-dependent T-type calcium channel subunit alpha-1G(LOC551883)	Apis mellifera	GO:0070509~calcium ion import,
GB47014	wiskott-Aldrich syndrome protein family member 3(LOC410922)	Apis mellifera	GO:0030036~actin cytoskeleton organization,
GB54030	zinc finger homeobox protein 4(LOC410304)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
